Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Solway Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[906, 1, 'Dec', 0, None, None]","[1683, 1, 'May', 0, None, None]","[3018, 1, 'Aug', 0, None, None]","[2610, 1, 'Oct', 0, None, None]","[2263, 1, 'Oct', 0, None, None]","[3285, 1, 'Feb', 0, None, None]","[1289, 2, 'Aug', 0, None, None]",nan,nan,"[103, 1, 'Jan', 0, None, None]","[203, 1, 'Jan', 0, None, None]","[285, 1, 'Dec', 0, None, None]","[1190, 1, 'Aug', 0, None, None]","[443, 1, 'Sep', 0, None, None]","[827, 1, 'May', 0, None, None]","[670, 2, 'Aug', 0, None, None]","[2075, 2, 'May', 0, None, None]","[1472, 1, 'May', 0, None, None]","[650, 1, 'Aug', 0, None, None]","[633, 2, 'Oct', 0, None, None]","[293, 1, 'Sep', 0, None, None]","[1791, 2, 'May', 0, None, None]","[395, 2, 'Sep', 0, None, None]","[1611, 1, 'May', 0, None, None]","[1266, 1, 'May', 0, None, None]","[1559, 1, 'Apr', 0, None, None]","[1201, 1, 'May', 0, None, None]","[1285, 1, 'May', 0, None, None]","[1054, 1, 'May', 0, None, None]","[782, 1, 'Apr', 0, None, None]","[947, 1, 'Aug', 0, None, None]","[447, 1, 'Apr', 0, None, None]","[674, 1, 'May', 0, None, None]","[376, 1, 'Sep', 0, None, None]","[906, 1, 'May', 0, None, None]","[410, 1, 'May', 0, None, None]","[572, 1, 'Apr', 0, None, None]","[353, 1, 'Apr', 0, None, None]","[704, 1, 'Aug', 0, None, None]","[1304, 1, 'Aug', 0, None, None]","[1008, 1, 'Apr', 0, None, None]","[745, 2, 'May', 0, None, None]","[902, 1, 'Aug', 0, None, None]","[977, 1, 'May', 0, None, None]","[5626, 1, 'Apr', 0, None, None]","[1697, 1, 'May', 0, None, None]","[1562, 1, 'May', 0, None, None]","[709, 2, 'Aug', 0, None, None]",2020-01-19 18:04:44
Mersey Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[20, 2, 'Aug', 0, None, None]","[273, 1, 'Aug', 0, None, None]","[343, 1, 'Aug', 0, None, None]","[715, 1, 'Sep', 0, None, None]","[199, 1, 'Aug', 0, None, None]","[121, 1, 'Nov', 0, None, None]","[90, 1, 'May', 0, None, None]","[90, 1, 'May', 0, None, None]","[58, 1, 'Sep', 0, None, None]","[118, 1, 'Aug', 0, None, None]","[50, 1, 'Apr', 0, None, None]","[400, 1, 'Aug', 0, None, None]","[46, 1, 'May', 0, None, None]","[47, 1, 'May', 0, None, None]","[340, 1, 'Aug', 0, None, None]","[140, 1, 'Aug', 0, None, None]","[89, 1, 'Dec', 0, None, None]","[80, 1, 'Aug', 0, None, None]","[1030, 1, 'Aug', 0, None, None]","[270, 1, 'Aug', 0, None, None]","[170, 1, 'May', 0, None, None]","[539, 1, 'Sep', 0, None, None]","[75, 1, 'May', 0, None, None]","[169, 1, 'May', 0, None, None]","[296, 1, 'Aug', 0, None, None]","[622, 1, 'Aug', 0, None, None]","[1428, 1, 'Aug', 0, None, None]","[99, 1, 'Oct', 0, None, None]","[148, 1, 'Aug', 0, None, None]","[498, 1, 'Aug', 0, None, None]","[51, 1, 'Sep', 0, None, None]","[690, 1, 'Aug', 0, None, None]","[43, 1, 'Aug', 0, None, None]","[211, 1, 'Aug', 0, None, None]","[400, 1, 'Aug', 0, None, None]","[53, 1, 'Nov', 0, None, None]","[107, 1, 'Feb', 0, None, None]","[435, 1, 'Aug', 0, None, None]","[136, 1, 'Aug', 0, None, None]","[165, 1, 'Aug', 0, None, None]","[812, 1, 'Aug', 0, None, None]","[133, 1, 'Apr', 0, None, None]","[2651, 1, 'Aug', 0, None, None]","[140, 1, 'May', 0, None, None]","[1450, 1, 'Sep', 0, None, None]","[1500, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[4000, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",2020-01-19 18:04:44
Solway Estuary (Scottish counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[671, 1, 'Oct', 0, None, None]","[670, 1, 'Oct', 0, None, None]","[146, 1, 'Apr', 0, None, None]","[954, 1, 'May', 0, None, None]","[743, 1, 'Sep', 0, None, None]","[237, 1, 'Jan', 0, None, None]",nan,nan,"[103, 1, 'Jan', 0, None, None]","[203, 1, 'Jan', 0, None, None]","[265, 1, 'Dec', 0, None, None]","[104, 1, 'Dec', 0, None, None]","[275, 1, 'Oct', 0, None, None]","[170, 1, 'Nov', 0, None, None]","[178, 1, 'Sep', 0, None, None]","[307, 1, 'Mar', 0, None, None]","[293, 2, 'Apr', 0, None, None]","[363, 1, 'Feb', 0, None, None]","[606, 2, 'Oct', 0, None, None]","[196, 1, 'Feb', 0, None, None]","[1643, 2, 'May', 0, None, None]","[246, 1, 'May', 0, None, None]","[1272, 2, 'May', 0, None, None]","[928, 1, 'Aug', 0, None, None]","[620, 1, 'May', 0, None, None]","[999, 1, 'May', 0, None, None]","[1001, 1, 'May', 0, None, None]","[788, 1, 'Nov', 0, None, None]","[325, 1, 'Oct', 0, None, None]","[308, 1, 'Sep', 0, None, None]","[385, 2, 'Apr', 0, None, None]","[520, 1, 'Oct', 0, None, None]","[358, 1, 'Sep', 0, None, None]","[485, 1, 'Oct', 0, None, None]","[109, 1, 'Aug', 0, None, None]","[261, 1, 'Apr', 0, None, None]","[158, 1, 'Nov', 0, None, None]","[300, 1, 'Apr', 0, None, None]","[445, 2, 'Aug', 0, None, None]","[812, 1, 'Apr', 0, None, None]","[450, 2, 'May', 0, None, None]","[822, 1, 'Nov', 0, None, None]","[875, 2, 'Apr', 0, None, None]","[5333, 1, 'Apr', 0, None, None]","[1108, 1, 'May', 0, None, None]","[1152, 1, 'May', 0, None, None]","[389, 1, 'Oct', 0, None, None]",2020-01-19 18:04:44
Ribble Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[597, 1, 'May', 0, None, None]","[1204, 1, 'Aug', 0, None, None]","[1005, 1, 'Aug', 0, None, None]","[1081, 1, 'Aug', 0, None, None]","[1153, 1, 'May', 0, None, None]","[125, 1, 'Dec', 0, None, None]","[81, 1, 'Feb', 0, None, None]","[43, 2, 'Feb', 0, None, None]","[178, 1, 'Dec', 0, None, None]","[1357, 1, 'Dec', 0, None, None]","[29, 1, 'Dec', 0, None, None]","[51, 1, 'Sep', 0, None, None]","[2873, 1, 'May', 0, None, None]","[3014, 1, 'May', 0, None, None]","[3988, 1, 'May', 0, None, None]","[879, 1, 'Aug', 0, None, None]","[1282, 2, 'May', 0, None, None]","[4001, 2, 'May', 0, None, None]","[1485, 1, 'May', 0, None, None]","[852, 1, 'Aug', 0, None, None]","[583, 2, 'Aug', 0, None, None]","[1037, 1, 'May', 0, None, None]","[498, 1, 'May', 0, None, None]","[1168, 1, 'May', 0, None, None]","[1710, 1, 'May', 0, None, None]","[1947, 1, 'May', 0, None, None]","[2350, 2, 'May', 0, None, None]","[3236, 2, 'May', 0, None, None]","[4784, 2, 'May', 0, None, None]","[5432, 2, 'May', 0, None, None]","[740, 1, 'Aug', 0, None, None]","[356, 1, 'May', 0, None, None]","[4300, 2, 'May', 0, None, None]","[727, 1, 'Aug', 0, None, None]","[1459, 1, 'Aug', 0, None, None]","[1950, 1, 'May', 0, None, None]","[1016, 2, 'May', 0, None, None]","[1734, 1, 'May', 0, None, None]","[2931, 2, 'Aug', 0, None, None]","[5420, 1, 'Aug', 0, None, None]","[6270, 1, 'May', 0, None, None]","[6239, 1, 'May', 0, None, None]","[2690, 1, 'May', 0, None, None]","[1398, 1, 'May', 0, None, None]","[1566, 1, 'May', 0, None, None]","[1541, 2, 'May', 0, None, None]","[1384, 2, 'May', 0, None, None]","[904, 2, 'Aug', 0, None, None]",2020-01-19 18:04:44
North Norfolk Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[17, 1, 'Oct', 0, None, None]","[485, 1, 'Sep', 0, None, None]","[358, 1, 'Sep', 0, None, None]","[443, 1, 'Oct', 0, None, None]","[437, 1, 'Sep', 0, None, None]","[270, 1, 'Oct', 0, None, None]","[438, 1, 'Sep', 0, None, None]","[403, 1, 'Mar', 0, None, None]","[818, 1, 'Sep', 0, None, None]","[1296, 1, 'Sep', 0, None, None]","[1054, 1, 'Aug', 0, None, None]","[1006, 1, 'Aug', 0, None, None]","[934, 1, 'Aug', 0, None, None]","[1043, 2, 'Aug', 0, None, None]","[1283, 1, 'Sep', 0, None, None]","[1460, 1, 'Aug', 0, None, None]","[1559, 1, 'Sep', 0, None, None]","[1798, 1, 'Sep', 0, None, None]","[1519, 1, 'Sep', 0, None, None]","[1858, 1, 'Aug', 0, None, None]","[1965, 1, 'Sep', 0, None, None]","[1744, 1, 'Aug', 0, None, None]","[1301, 1, 'Sep', 0, None, None]","[2310, 1, 'Aug', 0, None, None]","[2046, 1, 'Aug', 0, None, None]","[1023, 1, 'Sep', 0, None, None]","[1814, 1, 'Aug', 0, None, None]","[2758, 1, 'Aug', 0, None, None]","[1310, 1, 'Sep', 0, None, None]","[1373, 1, 'Aug', 0, None, None]","[1880, 1, 'Aug', 0, None, None]","[1650, 1, 'Aug', 0, None, None]","[1316, 1, 'Sep', 0, None, None]","[1067, 1, 'Sep', 0, None, None]","[1743, 1, 'Sep', 0, None, None]","[1643, 1, 'Aug', 0, None, None]",2020-01-19 18:04:44
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[429, 1, 'Aug', 0, None, None]","[605, 1, 'Aug', 0, None, None]","[521, 1, 'Aug', 0, None, None]","[665, 1, 'Sep', 0, None, None]","[999, 1, 'Aug', 0, None, None]","[39, 1, 'Jan', 0, None, None]","[47, 1, 'Jan', 0, None, None]","[143, 1, 'Feb', 0, None, None]","[499, 2, 'Sep', 0, None, None]","[1003, 1, 'Sep', 0, None, None]","[175, 1, 'Mar', 0, None, None]","[190, 1, 'Feb', 0, None, None]","[92, 1, 'Jan', 0, None, None]","[78, 1, 'Feb', 0, None, None]","[340, 1, 'Mar', 0, None, None]","[526, 2, 'Sep', 0, None, None]","[1022, 1, 'May', 0, None, None]","[1300, 2, 'Aug', 0, None, None]","[2686, 1, 'Aug', 0, None, None]","[667, 2, 'May', 0, None, None]","[2147, 1, 'Sep', 0, None, None]","[1892, 1, 'Aug', 0, None, None]","[1096, 1, 'Aug', 0, None, None]","[989, 1, 'May', 0, None, None]","[1858, 1, 'Aug', 0, None, None]","[1375, 1, 'Sep', 0, None, None]","[958, 1, 'Sep', 0, None, None]","[1570, 1, 'Aug', 0, None, None]","[1192, 1, 'Aug', 0, None, None]","[1489, 1, 'Sep', 0, None, None]","[2164, 1, 'Aug', 0, None, None]","[1519, 1, 'Aug', 0, None, None]","[1194, 1, 'May', 0, None, None]","[953, 1, 'Aug', 0, None, None]","[1223, 1, 'May', 0, None, None]","[1416, 1, 'May', 0, None, None]","[1127, 1, 'May', 0, None, None]","[400, 1, 'Mar', 0, None, None]","[1831, 1, 'Aug', 0, None, None]","[2138, 1, 'May', 0, None, None]","[1639, 1, 'May', 0, None, None]","[1035, 1, 'Aug', 0, None, None]","[925, 1, 'May', 0, None, None]","[1268, 1, 'May', 0, None, None]","[1539, 1, 'May', 0, None, None]","[1361, 1, 'May', 0, None, None]","[1063, 1, 'May', 0, None, None]","[1090, 1, 'Aug', 0, None, None]",2020-01-19 18:04:44
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7328, 1, 'May', 0, None, None]","[7530, 1, 'May', 0, None, None]","[4750, 1, 'May', 0, None, None]","[12240, 1, 'May', 0, None, None]","[9650, 1, 'May', 0, None, None]","[316, 1, 'Dec', 0, None, None]","[460, 1, 'Dec', 0, None, None]","[290, 1, 'Jan', 0, None, None]",nan,"[270, 1, 'Jan', 0, None, None]","[310, 1, 'Jan', 0, None, None]",nan,"[501, 2, 'May', 0, None, None]","[598, 1, 'May', 0, None, None]","[421, 1, 'May', 0, None, None]","[733, 1, 'Aug', 0, None, None]","[833, 2, 'May', 0, None, None]","[1896, 1, 'May', 0, None, None]","[785, 1, 'Aug', 0, None, None]","[2700, 1, 'May', 0, None, None]","[2615, 1, 'May', 0, None, None]","[3018, 2, 'May', 0, None, None]","[996, 1, 'Sep', 0, None, None]","[1155, 1, 'May', 0, None, None]","[797, 1, 'Aug', 0, None, None]","[1104, 1, 'May', 0, None, None]","[1460, 1, 'Aug', 0, None, None]","[862, 1, 'Sep', 0, None, None]","[723, 1, 'Sep', 0, None, None]","[1041, 1, 'Sep', 0, None, None]","[605, 1, 'Aug', 0, None, None]","[298, 1, 'Dec', 0, None, None]","[570, 1, 'Aug', 0, None, None]","[561, 1, 'Aug', 0, None, None]","[944, 1, 'Aug', 0, None, None]","[1000, 1, 'May', 0, None, None]","[363, 1, 'Oct', 0, None, None]","[428, 2, 'May', 0, None, None]","[936, 2, 'May', 0, None, None]","[894, 1, 'Aug', 0, None, None]","[724, 1, 'May', 0, None, None]","[633, 1, 'Aug', 0, None, None]","[756, 1, 'May', 0, None, None]","[1043, 1, 'May', 0, None, None]","[757, 1, 'May', 0, None, None]","[996, 1, 'May', 0, None, None]","[2211, 1, 'May', 0, None, None]","[729, 1, 'Aug', 0, None, None]",2020-01-19 18:04:44
Severn Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[429, 1, 'Oct', 0, None, None]","[3602, 1, 'Aug', 0, None, None]","[2740, 1, 'Aug', 0, None, None]","[4278, 1, 'Aug', 0, None, None]","[3401, 1, 'Aug', 0, None, None]","[1532, 1, 'Aug', 0, None, None]","[1945, 1, 'Aug', 0, None, None]","[1838, 1, 'Aug', 0, None, None]","[2504, 1, 'Aug', 0, None, None]","[272, 1, 'Aug', 0, None, None]","[293, 1, 'Sep', 0, None, None]","[718, 1, 'Aug', 0, None, None]","[1387, 2, 'Aug', 0, None, None]","[461, 1, 'Aug', 0, None, None]","[316, 1, 'Aug', 0, None, None]","[1471, 1, 'Aug', 0, None, None]","[864, 1, 'Aug', 0, None, None]","[773, 1, 'Sep', 0, None, None]","[1051, 1, 'Aug', 0, None, None]","[1157, 1, 'Aug', 0, None, None]","[1573, 2, 'Aug', 0, None, None]","[1022, 2, 'Aug', 0, None, None]","[1453, 2, 'Aug', 0, None, None]","[274, 1, 'May', 0, None, None]","[582, 1, 'Sep', 0, None, None]","[763, 2, 'Aug', 0, None, None]","[1093, 1, 'Aug', 0, None, None]","[836, 2, 'Aug', 0, None, None]","[645, 1, 'Sep', 0, None, None]","[893, 1, 'Aug', 0, None, None]","[566, 1, 'Aug', 0, None, None]","[681, 2, 'Aug', 0, None, None]","[371, 1, 'Sep', 0, None, None]","[599, 1, 'Aug', 0, None, None]","[1111, 1, 'Aug', 0, None, None]","[662, 2, 'Aug', 0, None, None]","[1453, 1, 'Aug', 0, None, None]","[364, 1, 'May', 0, None, None]","[1457, 1, 'Aug', 0, None, None]","[994, 1, 'Aug', 0, None, None]","[380, 1, 'Aug', 0, None, None]","[940, 1, 'Aug', 0, None, None]","[2625, 1, 'Aug', 0, None, None]","[816, 1, 'Aug', 0, None, None]","[726, 2, 'Aug', 0, None, None]","[526, 1, 'May', 0, None, None]","[1737, 1, 'Aug', 0, None, None]","[838, 1, 'Aug', 0, None, None]",2020-01-19 18:04:44
Humber Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[35, 1, 'Sep', 0, None, None]","[351, 1, 'Aug', 0, None, None]","[412, 1, 'May', 0, None, None]","[219, 1, 'Sep', 0, None, None]","[554, 1, 'Sep', 0, None, None]","[55, 1, 'Feb', 0, None, None]","[98, 2, 'Dec', 0, None, None]","[31, 2, 'Jan', 0, None, None]","[51, 1, 'Feb', 0, None, None]","[44, 2, 'Feb', 0, None, None]","[101, 1, 'Feb', 0, None, None]","[103, 1, 'Feb', 0, None, None]","[353, 2, 'Oct', 0, None, None]","[798, 1, 'Oct', 0, None, None]","[698, 2, 'Sep', 0, None, None]","[967, 1, 'Sep', 0, None, None]","[1481, 2, 'May', 0, None, None]","[599, 1, 'Sep', 0, None, None]","[657, 1, 'Sep', 0, None, None]","[440, 2, 'Sep', 0, None, None]","[633, 1, 'Sep', 0, None, None]","[409, 1, 'Sep', 0, None, None]","[989, 2, 'Aug', 0, None, None]","[1148, 1, 'May', 0, None, None]","[1058, 1, 'May', 0, None, None]","[1030, 1, 'Aug', 0, None, None]","[654, 1, 'May', 0, None, None]","[3669, 1, 'Aug', 0, None, None]","[1154, 1, 'Aug', 0, None, None]","[1536, 1, 'Sep', 0, None, None]","[1818, 1, 'Aug', 0, None, None]","[1971, 1, 'May', 0, None, None]","[1121, 1, 'May', 0, None, None]","[1169, 1, 'Aug', 0, None, None]","[1277, 1, 'Aug', 0, None, None]","[2168, 2, 'May', 0, None, None]","[783, 1, 'May', 0, None, None]","[1160, 2, 'May', 0, None, None]","[781, 1, 'Aug', 0, None, None]","[2547, 1, 'May', 0, None, None]","[1415, 1, 'May', 0, None, None]","[1204, 1, 'Aug', 0, None, None]","[1250, 1, 'May', 0, None, None]","[1387, 1, 'Aug', 0, None, None]","[788, 1, 'May', 0, None, None]","[901, 1, 'Aug', 0, None, None]","[1119, 1, 'Aug', 0, None, None]","[606, 1, 'Aug', 0, None, None]",2020-01-19 18:04:44
Dee Estuary (England and Wales),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3510, 1, 'May', 0, None, None]","[2627, 1, 'May', 0, None, None]","[3645, 1, 'Aug', 0, None, None]","[3732, 1, 'Aug', 0, None, None]","[1844, 1, 'Aug', 0, None, None]","[1525, 1, 'May', 0, None, None]","[1491, 1, 'Sep', 0, None, None]","[288, 2, 'Feb', 0, None, None]","[778, 2, 'Aug', 0, None, None]","[700, 1, 'Dec', 0, None, None]","[255, 1, 'Sep', 0, None, None]","[445, 1, 'Oct', 0, None, None]","[395, 1, 'Oct', 0, None, None]","[213, 2, 'Nov', 0, None, None]","[527, 1, 'Aug', 0, None, None]","[1260, 1, 'Aug', 0, None, None]","[496, 1, 'Aug', 0, None, None]","[347, 1, 'Aug', 0, None, None]","[737, 1, 'Aug', 0, None, None]","[695, 1, 'Aug', 0, None, None]","[1202, 1, 'Aug', 0, None, None]","[389, 1, 'Aug', 0, None, None]","[357, 1, 'Aug', 0, None, None]","[298, 1, 'Jan', 0, None, None]","[646, 1, 'Aug', 0, None, None]","[319, 1, 'Apr', 0, None, None]","[415, 1, 'Aug', 0, None, None]","[467, 1, 'Aug', 0, None, None]","[354, 1, 'Sep', 0, None, None]","[317, 1, 'Aug', 0, None, None]","[249, 1, 'Sep', 0, None, None]","[285, 1, 'Dec', 0, None, None]","[1168, 1, 'Aug', 0, None, None]","[658, 1, 'Aug', 0, None, None]","[756, 2, 'Aug', 0, None, None]","[392, 1, 'Aug', 0, None, None]","[127, 1, 'Aug', 0, None, None]","[551, 1, 'Aug', 0, None, None]","[744, 1, 'Aug', 0, None, None]","[265, 1, 'Aug', 0, None, None]","[263, 1, 'Sep', 0, None, None]","[516, 1, 'Aug', 0, None, None]","[1257, 1, 'Aug', 0, None, None]","[1620, 1, 'Aug', 0, None, None]","[795, 1, 'Aug', 0, None, None]","[558, 1, 'May', 0, None, None]","[757, 1, 'Aug', 0, None, None]","[808, 2, 'Sep', 0, None, None]",2020-01-19 18:04:44
Lindisfarne,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[150, 1, 'Dec', 0, None, None]","[100, 1, 'Feb', 0, None, None]","[340, 1, 'Apr', 0, None, None]","[625, 1, 'Aug', 0, None, None]","[396, 1, 'Feb', 0, None, None]","[363, 1, 'Oct', 0, None, None]","[417, 1, 'Nov', 0, None, None]","[440, 1, 'Jul', 0, None, None]","[345, 1, 'Aug', 0, None, None]","[447, 1, 'Aug', 0, None, None]","[407, 1, 'Oct', 0, None, None]","[396, 1, 'Sep', 0, None, None]","[410, 1, 'Apr', 0, None, None]","[473, 1, 'Sep', 0, None, None]","[605, 1, 'May', 0, None, None]","[916, 1, 'May', 0, None, None]","[1812, 1, 'Sep', 0, None, None]","[480, 1, 'Sep', 0, None, None]","[1340, 1, 'Oct', 0, None, None]","[698, 1, 'May', 0, None, None]","[800, 1, 'Nov', 0, None, None]","[908, 1, 'May', 0, None, None]","[215, 1, 'Feb', 0, None, None]","[337, 1, 'Apr', 0, None, None]","[424, 1, 'May', 0, None, None]","[469, 1, 'May', 0, None, None]","[195, 1, 'May', 0, None, None]","[246, 2, 'May', 0, None, None]","[174, 2, 'May', 0, None, None]","[173, 1, 'Sep', 0, None, None]","[348, 1, 'Aug', 0, None, None]","[88, 1, 'Sep', 0, None, None]","[150, 1, 'Oct', 0, None, None]","[731, 1, 'May', 0, None, None]","[152, 1, 'Oct', 0, None, None]","[415, 1, 'May', 0, None, None]","[581, 1, 'May', 0, None, None]","[139, 1, 'Aug', 0, None, None]","[224, 1, 'Feb', 0, None, None]","[734, 2, 'May', 0, None, None]","[815, 1, 'May', 0, None, None]","[1541, 2, 'May', 0, None, None]","[263, 1, 'May', 0, None, None]","[264, 2, 'May', 0, None, None]","[2294, 2, 'May', 0, None, None]","[292, 1, 'Aug', 0, None, None]","[448, 2, 'May', 0, None, None]","[479, 1, 'Nov', 0, None, None]",2020-01-19 18:04:44
Thames Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[300, 1, 'Aug', 0, None, None]","[801, 1, 'Sep', 0, None, None]","[895, 1, 'Sep', 0, None, None]","[753, 1, 'Nov', 0, None, None]","[1072, 1, 'Dec', 0, None, None]","[703, 1, 'Dec', 0, None, None]","[727, 1, 'Sep', 0, None, None]","[404, 1, 'Feb', 0, None, None]","[1218, 1, 'Sep', 0, None, None]","[613, 1, 'Sep', 0, None, None]","[828, 1, 'Jan', 0, None, None]","[733, 1, 'Oct', 0, None, None]","[800, 1, 'Sep', 0, None, None]","[836, 1, 'Sep', 0, None, None]","[1133, 1, 'Sep', 0, None, None]","[2077, 1, 'Sep', 0, None, None]","[875, 1, 'Sep', 0, None, None]","[922, 1, 'Nov', 0, None, None]","[1110, 1, 'Oct', 0, None, None]","[1736, 2, 'Sep', 0, None, None]","[2106, 1, 'Sep', 0, None, None]","[1675, 1, 'Sep', 0, None, None]","[1171, 1, 'Aug', 0, None, None]","[1279, 2, 'Sep', 0, None, None]","[895, 2, 'Sep', 0, None, None]","[792, 1, 'Nov', 0, None, None]","[1366, 1, 'Sep', 0, None, None]","[1840, 1, 'Sep', 0, None, None]","[1097, 1, 'Sep', 0, None, None]","[1019, 1, 'Oct', 0, None, None]","[2084, 1, 'Sep', 0, None, None]","[1247, 2, 'Sep', 0, None, None]","[1998, 1, 'Aug', 0, None, None]","[1262, 1, 'Oct', 0, None, None]","[1197, 1, 'Aug', 0, None, None]","[748, 1, 'Oct', 0, None, None]","[830, 1, 'Oct', 0, None, None]","[733, 1, 'Aug', 0, None, None]","[739, 1, 'Oct', 0, None, None]","[883, 1, 'Nov', 0, None, None]","[720, 1, 'Aug', 0, None, None]","[829, 1, 'Sep', 0, None, None]","[815, 1, 'Sep', 0, None, None]","[927, 1, 'Sep', 0, None, None]","[778, 2, 'Aug', 0, None, None]","[720, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",2020-01-19 18:04:44
