Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Barnacre Reservoir and Grizedale Lea,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[58, 1, 'Apr', 0, None, None]","[651, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[847, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[476, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[215, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[509, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[236, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[654, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[575, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[553, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[270, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[477, 1, 'May', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[417, 1, 'Apr', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[372, 1, 'Apr', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[529, 1, 'May', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[209, 1, 'May', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']",nan,"[383, 1, 'Apr', 1, 'Whimbrel roost counts for Barnacre', 'P Wilson, Lancashire Bird Report']","[654, 1, 'Apr', 1, 'Whimbrel roost counts for Barnacre', 'P Wilson, Lancashire Bird Report']","[524, 1, 'Apr', 1, 'Birdguides', 'Birdguides']","[535, 1, 'Apr', 1, 'Birdguides', 'Birdguides']","[667, 1, 'May', 1, 'Whimbrel roost counts for Barnacre', 'P Wilson, Lancashire Bird Report']","[423, 1, 'Apr', 1, 'Lancashire Bird Report', 'Lancashire and Cheshire Fauna Society']",2020-01-19 18:05:23
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[71, 1, 'May', 0, None, None]","[163, 1, 'Aug', 0, None, None]","[201, 1, 'May', 0, None, None]","[533, 1, 'Aug', 0, None, None]","[252, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[9, 2, 'Sep', 0, None, None]","[74, 1, 'Sep', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[30, 2, 'Sep', 0, None, None]","[30, 1, 'May', 0, None, None]","[210, 2, 'Aug', 0, None, None]","[572, 1, 'Jul', 0, None, None]","[62, 2, 'May', 0, None, None]","[252, 2, 'Jul', 0, None, None]","[272, 1, 'Aug', 0, None, None]","[177, 1, 'Jul', 0, None, None]","[288, 2, 'Jul', 0, None, None]","[351, 1, 'Jul', 0, None, None]","[839, 1, 'Aug', 0, None, None]","[204, 2, 'Jul', 0, None, None]","[154, 1, 'Sep', 0, None, None]","[460, 1, 'Jul', 0, None, None]","[137, 1, 'Sep', 0, None, None]","[189, 1, 'Jul', 0, None, None]","[82, 1, 'Aug', 0, None, None]","[87, 1, 'Aug', 0, None, None]","[86, 1, 'May', 0, None, None]","[414, 1, 'Aug', 0, None, None]","[292, 1, 'Jul', 0, None, None]","[233, 1, 'Jul', 0, None, None]","[324, 1, 'Aug', 0, None, None]","[151, 1, 'Jul', 0, None, None]","[1503, 1, 'Jul', 0, None, None]","[275, 1, 'Aug', 0, None, None]","[220, 1, 'May', 0, None, None]","[303, 1, 'Aug', 0, None, None]","[579, 1, 'Aug', 0, None, None]","[432, 1, 'Aug', 0, None, None]","[105, 1, 'May', 0, None, None]","[251, 1, 'Apr', 0, None, None]","[171, 1, 'Jul', 0, None, None]",2020-01-19 18:05:23
Ribble Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 2, 'Sep', 0, None, None]","[2, 2, 'Aug', 0, None, None]","[18, 1, 'May', 0, None, None]","[25, 1, 'Jul', 0, None, None]","[20, 1, 'Aug', 0, None, None]","[66, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[2, 1, 'May', 0, None, None]","[1, 1, 'Jul', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[1, 2, 'Apr', 0, None, None]","[9, 2, 'Jun', 0, None, None]","[1, 2, 'Jul', 0, None, None]","[1, 2, 'Jul', 0, None, None]","[1, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[9, 1, 'May', 0, None, None]","[7, 1, 'Jul', 0, None, None]","[9, 1, 'May', 0, None, None]","[4, 1, 'May', 0, None, None]","[1, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'May', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[20, 2, 'Sep', 0, None, None]","[15, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[9, 1, 'May', 0, None, None]","[7, 1, 'May', 0, None, None]","[58, 1, 'Apr', 0, None, None]","[390, 1, 'Apr', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[8, 1, 'Apr', 0, None, None]","[53, 1, 'May', 0, None, None]","[3, 1, 'Jul', 0, None, None]","[6, 1, 'Apr', 0, None, None]","[75, 1, 'Apr', 0, None, None]","[680, 1, 'May', 1, 'Lancashire Bird Report', 'Lancashire and Cheshire Fauna Society']","[332, 1, 'Apr', 1, 'Lancashire Bird Report', 'Lancashire and Cheshire Fauna Society']","[182, 1, 'Apr', 1, 'Lancashire Bird Report', 'Lancashire and Cheshire Fauna Society']",2020-01-19 18:05:23
Severn Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[18, 2, 'Aug', 0, None, None]","[73, 1, 'May', 0, None, None]","[22, 1, 'Aug', 0, None, None]","[150, 1, 'Apr', 0, None, None]","[1124, 1, 'May', 0, None, None]","[927, 1, 'May', 0, None, None]","[457, 1, 'Sep', 0, None, None]","[1812, 1, 'May', 0, None, None]","[1578, 1, 'Apr', 0, None, None]","[236, 1, 'Aug', 0, None, None]","[15, 1, 'Apr', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[60, 1, 'Sep', 0, None, None]","[160, 1, 'Apr', 0, None, None]","[12, 1, 'Apr', 0, None, None]","[48, 1, 'May', 0, None, None]","[164, 1, 'May', 0, None, None]","[64, 1, 'May', 0, None, None]","[246, 1, 'Apr', 0, None, None]","[66, 2, 'Jul', 0, None, None]","[39, 2, 'Aug', 0, None, None]","[35, 1, 'Apr', 0, None, None]","[75, 2, 'May', 0, None, None]","[254, 1, 'May', 0, None, None]","[45, 1, 'May', 0, None, None]","[104, 1, 'May', 0, None, None]","[94, 1, 'Apr', 0, None, None]","[123, 2, 'May', 0, None, None]","[333, 1, 'Apr', 0, None, None]","[47, 1, 'May', 0, None, None]","[173, 1, 'May', 0, None, None]","[14, 1, 'Jul', 0, None, None]","[59, 1, 'Apr', 0, None, None]","[204, 1, 'Apr', 0, None, None]","[240, 1, 'Apr', 0, None, None]","[197, 1, 'May', 0, None, None]","[101, 1, 'May', 0, None, None]","[186, 1, 'May', 0, None, None]","[85, 1, 'May', 0, None, None]","[244, 1, 'May', 0, None, None]","[331, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[209, 1, 'May', 0, None, None]","[138, 1, 'May', 0, None, None]","[299, 1, 'May', 0, None, None]","[153, 1, 'Apr', 0, None, None]","[164, 1, 'Apr', 0, None, None]","[563, 1, 'May', 0, None, None]","[161, 1, 'May', 0, None, None]","[64, 1, 'Jul', 0, None, None]",2020-01-19 18:05:23
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[22, 1, 'Aug', 0, None, None]","[30, 1, 'Aug', 0, None, None]","[65, 1, 'Sep', 0, None, None]","[102, 1, 'Aug', 0, None, None]","[154, 1, 'Aug', 0, None, None]","[14, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[1, 1, 'Feb', 0, None, None]","[29, 1, 'May', 0, None, None]","[11, 1, 'Aug', 0, None, None]","[10, 1, 'Aug', 0, None, None]","[14, 1, 'Aug', 0, None, None]","[42, 1, 'May', 0, None, None]","[50, 1, 'Aug', 0, None, None]","[56, 1, 'Jul', 0, None, None]","[56, 1, 'Jul', 0, None, None]","[57, 1, 'Aug', 0, None, None]","[147, 1, 'May', 0, None, None]","[62, 1, 'Jul', 0, None, None]","[78, 1, 'May', 0, None, None]","[67, 1, 'Aug', 0, None, None]","[152, 1, 'May', 0, None, None]","[127, 1, 'May', 0, None, None]","[168, 1, 'May', 0, None, None]","[226, 1, 'May', 0, None, None]","[80, 1, 'Aug', 0, None, None]","[32, 1, 'May', 0, None, None]","[35, 1, 'Aug', 0, None, None]","[54, 1, 'Aug', 0, None, None]","[182, 1, 'May', 0, None, None]","[60, 1, 'May', 0, None, None]","[53, 1, 'Aug', 0, None, None]","[17, 1, 'May', 0, None, None]","[103, 1, 'May', 0, None, None]","[76, 1, 'Apr', 0, None, None]","[89, 1, 'May', 0, None, None]","[186, 1, 'May', 0, None, None]","[105, 1, 'May', 0, None, None]","[44, 1, 'Jul', 0, None, None]","[69, 1, 'Apr', 0, None, None]","[359, 1, 'May', 0, None, None]","[309, 1, 'Apr', 1, 'Lancashire Bird Report', 'Lancashire and Cheshire Fauna Society']","[233, 1, 'Apr', 1, 'Lancashire Bird Report', 'Lancashire and Cheshire Fauna Society']",2020-01-19 18:05:23
Brockholes Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[110, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[200, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[234, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[186, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[401, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[329, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[289, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[154, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[210, 1, 'Apr', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[304, 1, 'May', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[246, 1, 'May', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[290, 1, 'Apr', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[149, 1, 'Apr', 1, 'Whimbrel roost counts for Brockholes', 'W Aspin (in litt.)']","[160, 1, 'Apr', 1, 'Whimbrel roost counts for Brockholes', 'W Aspin (in litt.)']","[263, 1, 'Apr', 1, 'Whimbrel roost counts for Brockholes', 'W Aspin (in litt.)']","[228, 1, 'Apr', 1, 'Whimbrel roost counts for Brockholes', 'W Aspin (in litt.)']","[200, 1, 'Apr', 1, 'Whimbrel roost counts for Brockholes', 'W Aspin (in litt.)']","[102, 1, 'Apr', 1, 'Lancashire Bird Report', 'Lancashire and Cheshire Fauna Society']","[88, 1, 'Apr', 1, 'Lancashire Bird Report', 'Lancashire and Cheshire Fauna Society']","[65, 1, 'Apr', 1, 'Lancashire Bird Report', 'Lancashire and Cheshire Fauna Society']",2020-01-19 18:05:23
Exe Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8, 2, 'May', 0, None, None]","[16, 1, 'May', 0, None, None]","[25, 1, 'Aug', 0, None, None]","[28, 1, 'Jul', 0, None, None]","[77, 1, 'May', 0, None, None]","[33, 1, 'Apr', 0, None, None]","[110, 1, 'Apr', 0, None, None]","[13, 1, 'Aug', 0, None, None]","[225, 1, 'Jul', 0, None, None]","[10, 1, 'Aug', 0, None, None]","[46, 1, 'May', 0, None, None]","[80, 1, 'Apr', 0, None, None]","[130, 1, 'May', 0, None, None]","[84, 1, 'Apr', 0, None, None]","[52, 1, 'Jul', 0, None, None]","[43, 1, 'Jul', 0, None, None]","[35, 2, 'May', 0, None, None]","[11, 1, 'Apr', 0, None, None]","[23, 2, 'Jul', 0, None, None]","[138, 1, 'Apr', 0, None, None]","[151, 1, 'May', 0, None, None]","[50, 1, 'May', 0, None, None]","[16, 1, 'May', 0, None, None]","[36, 1, 'Jul', 0, None, None]","[121, 1, 'May', 0, None, None]","[106, 1, 'May', 0, None, None]","[72, 1, 'May', 0, None, None]","[125, 1, 'May', 0, None, None]","[20, 2, 'May', 0, None, None]","[51, 1, 'Jul', 0, None, None]","[40, 1, 'May', 0, None, None]","[98, 1, 'May', 0, None, None]","[298, 1, 'May', 0, None, None]","[42, 1, 'Apr', 0, None, None]","[48, 1, 'May', 0, None, None]","[109, 1, 'May', 0, None, None]","[60, 1, 'Jul', 0, None, None]","[51, 1, 'Apr', 0, None, None]","[33, 1, 'Jul', 0, None, None]","[35, 1, 'Jul', 0, None, None]","[43, 1, 'May', 0, None, None]","[85, 1, 'Apr', 0, None, None]","[168, 1, 'May', 0, None, None]","[99, 1, 'May', 0, None, None]","[188, 1, 'Aug', 0, None, None]","[152, 1, 'Aug', 0, None, None]","[48, 1, 'Jul', 0, None, None]",2020-01-19 18:05:23
Humber Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[65, 2, 'Aug', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[25, 1, 'May', 0, None, None]","[32, 1, 'May', 0, None, None]","[29, 1, 'May', 0, None, None]","[24, 1, 'May', 0, None, None]","[2, 1, 'May', 0, None, None]","[3, 2, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[1, 2, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[38, 2, 'Aug', 0, None, None]","[30, 1, 'May', 0, None, None]","[1, 2, 'Sep', 0, None, None]","[15, 1, 'May', 0, None, None]","[31, 2, 'May', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[14, 1, 'Sep', 0, None, None]","[22, 2, 'Sep', 0, None, None]","[15, 1, 'Sep', 0, None, None]","[62, 2, 'Aug', 0, None, None]","[42, 2, 'Aug', 0, None, None]","[52, 1, 'May', 0, None, None]","[30, 1, 'Sep', 0, None, None]","[119, 1, 'Aug', 0, None, None]","[35, 1, 'Aug', 0, None, None]","[32, 1, 'May', 0, None, None]","[30, 1, 'May', 0, None, None]","[132, 1, 'May', 0, None, None]","[275, 1, 'Jul', 0, None, None]","[32, 1, 'May', 0, None, None]","[41, 1, 'Aug', 0, None, None]","[53, 1, 'Jul', 0, None, None]","[82, 1, 'Jul', 0, None, None]","[107, 1, 'Jul', 0, None, None]","[78, 1, 'Jul', 0, None, None]","[36, 1, 'Aug', 0, None, None]","[57, 1, 'Jul', 0, None, None]","[26, 1, 'Aug', 0, None, None]","[58, 1, 'Jul', 0, None, None]","[32, 1, 'Aug', 0, None, None]","[37, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[82, 1, 'Aug', 0, None, None]","[120, 1, 'Aug', 0, None, None]","[250, 1, 'Jul', 0, None, None]","[101, 1, 'Jul', 0, None, None]","[55, 1, 'Jul', 0, None, None]",2020-01-19 18:05:23
North Norfolk Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 2, 'Jul', 0, None, None]","[16, 1, 'Sep', 0, None, None]","[6, 2, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[0, 2, '', 0, None, None]","[13, 1, 'Dec', 0, None, None]","[84, 2, 'Aug', 0, None, None]","[84, 1, 'Aug', 0, None, None]","[27, 1, 'Aug', 0, None, None]","[26, 2, 'Aug', 0, None, None]","[38, 2, 'Aug', 0, None, None]","[79, 1, 'Aug', 0, None, None]","[109, 1, 'Apr', 0, None, None]","[143, 1, 'Aug', 0, None, None]","[143, 1, 'Aug', 0, None, None]","[73, 1, 'May', 0, None, None]","[141, 1, 'Aug', 0, None, None]","[61, 1, 'Aug', 0, None, None]","[141, 1, 'May', 0, None, None]","[166, 1, 'May', 0, None, None]","[129, 1, 'Jul', 0, None, None]","[70, 1, 'Jul', 0, None, None]","[257, 1, 'Aug', 0, None, None]","[123, 1, 'Jul', 0, None, None]","[97, 1, 'Jul', 0, None, None]","[197, 1, 'Aug', 0, None, None]","[299, 1, 'May', 0, None, None]","[132, 1, 'Jul', 0, None, None]","[192, 1, 'Jul', 0, None, None]","[78, 1, 'Aug', 0, None, None]","[99, 1, 'Aug', 0, None, None]","[127, 1, 'Jul', 0, None, None]","[115, 1, 'Jul', 0, None, None]",2020-01-19 18:05:23
Severn Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[14, 2, 'Aug', 0, None, None]","[73, 1, 'May', 0, None, None]","[16, 1, 'Aug', 0, None, None]","[150, 1, 'Apr', 0, None, None]","[1002, 1, 'May', 0, None, None]","[927, 1, 'May', 0, None, None]","[457, 1, 'Sep', 0, None, None]","[1812, 1, 'May', 0, None, None]","[1578, 1, 'Apr', 0, None, None]","[209, 1, 'Aug', 0, None, None]","[15, 1, 'Apr', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[60, 1, 'Sep', 0, None, None]","[101, 1, 'Apr', 0, None, None]","[12, 1, 'Apr', 0, None, None]","[48, 1, 'May', 0, None, None]","[164, 1, 'May', 0, None, None]","[23, 1, 'May', 0, None, None]","[144, 1, 'Apr', 0, None, None]","[29, 1, 'Apr', 0, None, None]","[26, 1, 'May', 0, None, None]","[16, 1, 'May', 0, None, None]","[51, 2, 'May', 0, None, None]","[98, 1, 'May', 0, None, None]","[24, 1, 'May', 0, None, None]","[47, 1, 'May', 0, None, None]","[55, 1, 'Apr', 0, None, None]","[65, 1, 'May', 0, None, None]","[116, 1, 'Apr', 0, None, None]","[47, 1, 'May', 0, None, None]","[114, 1, 'May', 0, None, None]","[11, 1, 'May', 0, None, None]","[55, 1, 'Apr', 0, None, None]","[115, 1, 'Apr', 0, None, None]","[82, 1, 'Apr', 0, None, None]","[83, 1, 'May', 0, None, None]","[43, 1, 'May', 0, None, None]","[54, 1, 'May', 0, None, None]","[28, 1, 'Jun', 0, None, None]","[95, 1, 'May', 0, None, None]","[112, 1, 'Apr', 0, None, None]","[74, 1, 'May', 0, None, None]","[52, 1, 'May', 0, None, None]","[143, 1, 'May', 0, None, None]","[76, 1, 'Apr', 0, None, None]","[64, 1, 'Apr', 0, None, None]","[312, 1, 'May', 0, None, None]","[104, 1, 'May', 0, None, None]","[20, 2, 'Jul', 0, None, None]",2020-01-19 18:05:23
Burry Inlet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[25, 1, 'Apr', 0, None, None]","[13, 2, 'Aug', 0, None, None]","[82, 2, 'May', 0, None, None]","[51, 1, 'May', 0, None, None]","[55, 1, 'May', 0, None, None]","[32, 1, 'May', 0, None, None]","[86, 1, 'May', 0, None, None]","[130, 1, 'May', 0, None, None]","[210, 1, 'Apr', 0, None, None]","[290, 1, 'Jul', 0, None, None]","[35, 1, 'Aug', 0, None, None]","[90, 1, 'May', 0, None, None]","[65, 1, 'Apr', 0, None, None]","[155, 1, 'Apr', 0, None, None]","[115, 1, 'Aug', 0, None, None]","[45, 1, 'Jul', 0, None, None]","[80, 1, 'Apr', 0, None, None]","[155, 1, 'Jul', 0, None, None]","[174, 1, 'Jul', 0, None, None]","[346, 2, 'May', 0, None, None]","[70, 2, 'Apr', 0, None, None]","[122, 1, 'May', 0, None, None]","[117, 1, 'May', 0, None, None]","[100, 1, 'May', 0, None, None]","[30, 1, 'May', 0, None, None]","[300, 1, 'Jul', 0, None, None]","[133, 1, 'Aug', 0, None, None]","[117, 1, 'May', 0, None, None]","[190, 1, 'Apr', 0, None, None]","[334, 2, 'May', 0, None, None]","[366, 1, 'May', 0, None, None]","[139, 1, 'Apr', 0, None, None]","[30, 1, 'Jul', 0, None, None]","[35, 1, 'May', 0, None, None]","[110, 1, 'May', 0, None, None]","[175, 1, 'May', 0, None, None]","[111, 1, 'Jul', 0, None, None]","[223, 1, 'May', 0, None, None]","[40, 1, 'Jul', 0, None, None]","[118, 1, 'Aug', 0, None, None]","[26, 1, 'May', 0, None, None]","[29, 1, 'Aug', 0, None, None]","[44, 1, 'Jul', 0, None, None]","[94, 1, 'Jul', 0, None, None]","[66, 1, 'Jul', 0, None, None]","[307, 1, 'Jul', 0, None, None]","[47, 1, 'Jul', 0, None, None]","[44, 1, 'Jul', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[99, 1, 'Aug', 0, None, None]",2020-01-19 18:05:23
Severn Estuary (Welsh counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 2, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Aug', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[122, 1, 'May', 0, None, None]","[56, 1, 'Sep', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[27, 1, 'Aug', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[59, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[5, 2, 'Apr', 0, None, None]","[1, 2, 'Aug', 0, None, None]","[41, 2, 'May', 0, None, None]","[102, 2, 'Apr', 0, None, None]","[53, 2, 'Jul', 0, None, None]","[32, 2, 'Aug', 0, None, None]","[22, 2, 'Aug', 0, None, None]","[37, 2, 'Apr', 0, None, None]","[156, 2, 'May', 0, None, None]","[21, 1, 'May', 0, None, None]","[57, 1, 'May', 0, None, None]","[39, 1, 'Apr', 0, None, None]","[58, 2, 'May', 0, None, None]","[217, 1, 'Apr', 0, None, None]","[14, 1, 'Aug', 0, None, None]","[59, 1, 'May', 0, None, None]","[10, 1, 'Jul', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[89, 2, 'Apr', 0, None, None]","[158, 1, 'Apr', 0, None, None]","[114, 2, 'May', 0, None, None]","[58, 1, 'May', 0, None, None]","[132, 2, 'May', 0, None, None]","[77, 1, 'May', 0, None, None]","[149, 1, 'May', 0, None, None]","[114, 1, 'Apr', 0, None, None]","[135, 1, 'May', 0, None, None]","[86, 1, 'May', 0, None, None]","[156, 1, 'May', 0, None, None]","[77, 1, 'Apr', 0, None, None]","[100, 1, 'Apr', 0, None, None]","[251, 1, 'May', 0, None, None]","[81, 1, 'Apr', 0, None, None]","[44, 1, 'Jul', 0, None, None]",2020-01-19 18:05:23
