Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1852, 1, 'Feb', 0, None, None]","[2380, 1, 'Sep', 0, None, None]","[3795, 1, 'Aug', 0, None, None]","[2655, 1, 'Aug', 0, None, None]","[2520, 1, 'Apr', 0, None, None]","[1620, 1, 'Jan', 0, None, None]","[1850, 1, 'Jan', 0, None, None]","[1610, 1, 'Jan', 0, None, None]",nan,"[1720, 1, 'Jan', 0, None, None]","[1740, 1, 'Jan', 0, None, None]",nan,"[770, 1, 'Dec', 0, None, None]","[1026, 2, 'Nov', 0, None, None]","[755, 2, 'Jan', 0, None, None]","[1703, 1, 'Dec', 0, None, None]","[2269, 1, 'Feb', 0, None, None]","[2189, 1, 'Feb', 0, None, None]","[1790, 1, 'Apr', 0, None, None]","[2015, 1, 'Apr', 0, None, None]","[2580, 1, 'Apr', 0, None, None]","[2018, 1, 'Apr', 0, None, None]","[2086, 1, 'Jan', 0, None, None]","[2131, 1, 'Sep', 0, None, None]","[1696, 1, 'Dec', 0, None, None]","[1340, 1, 'Dec', 0, None, None]","[1483, 1, 'Dec', 0, None, None]","[1488, 1, 'Sep', 0, None, None]","[1402, 1, 'Dec', 0, None, None]","[1371, 1, 'Oct', 0, None, None]","[1175, 1, 'Jan', 0, None, None]","[825, 1, 'Nov', 0, None, None]","[1150, 1, 'Apr', 0, None, None]","[766, 1, 'Dec', 0, None, None]","[1054, 1, 'Oct', 0, None, None]","[1269, 1, 'Apr', 0, None, None]","[1163, 1, 'Apr', 0, None, None]","[709, 1, 'Feb', 0, None, None]","[973, 1, 'Nov', 0, None, None]","[1394, 1, 'Apr', 0, None, None]","[1071, 1, 'Dec', 0, None, None]","[1339, 1, 'Apr', 0, None, None]","[1659, 1, 'Apr', 0, None, None]","[1119, 1, 'Oct', 0, None, None]","[1014, 1, 'Nov', 0, None, None]","[1144, 1, 'Jan', 0, None, None]","[1032, 1, 'Oct', 0, None, None]","[1030, 1, 'Feb', 0, None, None]",2020-01-19 18:06:38
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1022, 1, 'Aug', 0, None, None]","[723, 1, 'Sep', 0, None, None]","[993, 1, 'Sep', 0, None, None]","[1246, 1, 'Jul', 0, None, None]","[1606, 1, 'Sep', 0, None, None]","[1044, 1, 'Dec', 0, None, None]","[601, 1, 'Feb', 0, None, None]","[830, 1, 'Feb', 0, None, None]","[1161, 2, 'Sep', 0, None, None]","[974, 1, 'Sep', 0, None, None]","[1159, 1, 'Feb', 0, None, None]","[1057, 1, 'Nov', 0, None, None]","[496, 1, 'Feb', 0, None, None]","[973, 1, 'Feb', 0, None, None]","[1216, 1, 'Nov', 0, None, None]","[764, 1, 'Jan', 0, None, None]","[1402, 1, 'Sep', 0, None, None]","[1995, 1, 'Feb', 0, None, None]","[2596, 1, 'Jul', 0, None, None]","[967, 1, 'Mar', 0, None, None]","[1292, 1, 'Oct', 0, None, None]","[1218, 1, 'Aug', 0, None, None]","[739, 1, 'Aug', 0, None, None]","[802, 2, 'Jul', 0, None, None]","[1208, 1, 'Aug', 0, None, None]","[1317, 1, 'Aug', 0, None, None]","[766, 2, 'Jan', 0, None, None]","[648, 1, 'Aug', 0, None, None]","[965, 1, 'Jan', 0, None, None]","[665, 1, 'Aug', 0, None, None]","[642, 1, 'Sep', 0, None, None]","[875, 1, 'Aug', 0, None, None]","[1324, 1, 'Aug', 0, None, None]","[1044, 1, 'Aug', 0, None, None]","[1244, 1, 'Aug', 0, None, None]","[1169, 1, 'Aug', 0, None, None]","[657, 1, 'Aug', 0, None, None]","[478, 1, 'Oct', 0, None, None]","[685, 1, 'Sep', 0, None, None]","[547, 1, 'Sep', 0, None, None]","[789, 1, 'Aug', 0, None, None]","[618, 1, 'Apr', 0, None, None]","[792, 1, 'Aug', 0, None, None]","[1190, 1, 'Aug', 0, None, None]","[1093, 1, 'Aug', 0, None, None]","[642, 1, 'Sep', 0, None, None]","[893, 1, 'Oct', 0, None, None]","[735, 1, 'Sep', 0, None, None]",2020-01-19 18:06:38
Forth Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[80, 1, 'Oct', 0, None, None]","[55, 1, 'Oct', 0, None, None]","[33, 1, 'Jan', 0, None, None]","[195, 1, 'Nov', 0, None, None]","[282, 1, 'Jan', 0, None, None]","[126, 1, 'Jan', 0, None, None]","[198, 1, 'Feb', 0, None, None]","[472, 1, 'Dec', 0, None, None]","[128, 1, 'Jan', 0, None, None]","[190, 1, 'Dec', 0, None, None]",nan,"[219, 1, 'Dec', 0, None, None]","[326, 1, 'Dec', 0, None, None]","[129, 2, 'Dec', 0, None, None]","[109, 1, 'Jan', 0, None, None]","[396, 1, 'Feb', 0, None, None]","[315, 2, 'Feb', 0, None, None]","[557, 1, 'Jan', 0, None, None]","[499, 1, 'Feb', 0, None, None]","[539, 1, 'Sep', 0, None, None]","[1018, 1, 'Mar', 0, None, None]","[360, 1, 'Dec', 0, None, None]","[571, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1395, 1, 'Oct', 0, None, None]","[1301, 1, 'Jan', 0, None, None]","[1122, 1, 'Jan', 0, None, None]","[924, 1, 'Sep', 0, None, None]","[813, 1, 'Mar', 0, None, None]","[913, 1, 'Sep', 0, None, None]","[1019, 1, 'Sep', 0, None, None]","[989, 1, 'Nov', 0, None, None]","[884, 1, 'Sep', 0, None, None]","[940, 1, 'Nov', 0, None, None]","[716, 1, 'Oct', 0, None, None]","[778, 1, 'Oct', 0, None, None]","[847, 1, 'Feb', 0, None, None]","[778, 1, 'Feb', 0, None, None]","[934, 2, 'Nov', 0, None, None]","[855, 2, 'Oct', 0, None, None]","[699, 2, 'Nov', 0, None, None]","[605, 2, 'Oct', 0, None, None]","[597, 1, 'Dec', 0, None, None]","[662, 1, 'Feb', 0, None, None]","[809, 1, 'Nov', 0, None, None]","[903, 1, 'Oct', 0, None, None]","[556, 1, 'Feb', 0, None, None]","[835, 1, 'Dec', 0, None, None]","[660, 1, 'Jan', 0, None, None]",2020-01-19 18:06:38
Blackwater Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[540, 1, 'Dec', 0, None, None]",nan,"[275, 1, 'Feb', 0, None, None]","[360, 1, 'May', 0, None, None]","[541, 1, 'Dec', 0, None, None]","[534, 1, 'Oct', 0, None, None]","[398, 1, 'Mar', 0, None, None]","[493, 1, 'Jan', 0, None, None]","[730, 1, 'Jan', 0, None, None]","[537, 1, 'Oct', 0, None, None]","[539, 1, 'Sep', 0, None, None]","[375, 1, 'Jan', 0, None, None]","[397, 2, 'Sep', 0, None, None]","[378, 1, 'Mar', 0, None, None]","[519, 2, 'Dec', 0, None, None]","[419, 1, 'Jan', 0, None, None]","[443, 2, 'Apr', 0, None, None]","[344, 2, 'Aug', 0, None, None]","[236, 1, 'Jan', 0, None, None]","[627, 1, 'Oct', 0, None, None]","[409, 1, 'Mar', 0, None, None]","[402, 1, 'Mar', 0, None, None]","[282, 1, 'Nov', 0, None, None]","[340, 1, 'Apr', 0, None, None]","[427, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[596, 1, 'Aug', 0, None, None]","[461, 1, 'Sep', 0, None, None]","[711, 2, 'Nov', 0, None, None]","[912, 1, 'Apr', 0, None, None]","[536, 1, 'Oct', 0, None, None]","[696, 1, 'Sep', 0, None, None]","[350, 1, 'Nov', 0, None, None]","[693, 2, 'Oct', 0, None, None]","[351, 1, 'Nov', 0, None, None]","[380, 1, 'Nov', 0, None, None]","[498, 1, 'Sep', 0, None, None]","[527, 1, 'Feb', 0, None, None]","[676, 1, 'Oct', 0, None, None]","[1102, 1, 'Sep', 0, None, None]","[502, 1, 'Oct', 0, None, None]","[377, 2, 'Mar', 0, None, None]","[422, 1, 'Mar', 0, None, None]","[630, 1, 'Sep', 0, None, None]","[646, 1, 'Mar', 0, None, None]","[440, 1, 'Dec', 0, None, None]","[367, 1, 'Nov', 0, None, None]","[1450, 1, 'Nov', 0, None, None]","[495, 1, 'Oct', 0, None, None]",2020-01-19 18:06:38
Thames Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[97, 1, 'Dec', 0, None, None]","[374, 1, 'Jul', 0, None, None]","[444, 1, 'Apr', 0, None, None]","[345, 1, 'Mar', 0, None, None]","[777, 1, 'Sep', 0, None, None]","[829, 1, 'Oct', 0, None, None]","[380, 1, 'Sep', 0, None, None]","[262, 1, 'Mar', 0, None, None]","[532, 1, 'Jan', 0, None, None]","[405, 1, 'Oct', 0, None, None]","[481, 1, 'Mar', 0, None, None]","[892, 1, 'Dec', 0, None, None]","[562, 1, 'Oct', 0, None, None]","[630, 1, 'Feb', 0, None, None]","[888, 1, 'Dec', 0, None, None]","[640, 1, 'Nov', 0, None, None]","[681, 1, 'Dec', 0, None, None]","[873, 1, 'Oct', 0, None, None]","[766, 1, 'Dec', 0, None, None]","[1379, 1, 'Dec', 0, None, None]","[1551, 1, 'Sep', 0, None, None]","[548, 1, 'Sep', 0, None, None]","[745, 2, 'Nov', 0, None, None]","[1034, 1, 'Nov', 0, None, None]","[702, 1, 'Oct', 0, None, None]","[467, 1, 'Oct', 0, None, None]","[558, 2, 'Aug', 0, None, None]","[512, 1, 'Feb', 0, None, None]","[632, 1, 'Jan', 0, None, None]","[879, 1, 'Mar', 0, None, None]","[599, 1, 'Sep', 0, None, None]","[569, 1, 'Oct', 0, None, None]","[711, 1, 'Oct', 0, None, None]","[680, 1, 'Dec', 0, None, None]","[680, 1, 'Jan', 0, None, None]","[1090, 1, 'Nov', 0, None, None]","[1060, 1, 'Nov', 0, None, None]","[382, 1, 'Jan', 0, None, None]","[703, 1, 'Jan', 0, None, None]","[428, 1, 'Jan', 0, None, None]","[664, 1, 'Sep', 0, None, None]","[685, 1, 'Dec', 0, None, None]","[535, 1, 'Nov', 0, None, None]","[584, 1, 'Feb', 0, None, None]","[420, 1, 'Dec', 0, None, None]","[745, 1, 'Feb', 0, None, None]",2020-01-19 18:06:38
Severn Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[407, 1, 'Oct', 0, None, None]","[443, 1, 'Oct', 0, None, None]","[441, 1, 'Aug', 0, None, None]","[450, 1, 'Dec', 0, None, None]","[273, 1, 'Oct', 0, None, None]","[267, 1, 'Apr', 0, None, None]","[305, 1, 'Oct', 0, None, None]","[400, 1, 'Apr', 0, None, None]","[466, 1, 'Apr', 0, None, None]","[226, 1, 'Jan', 0, None, None]","[209, 1, 'Sep', 0, None, None]","[247, 1, 'Sep', 0, None, None]","[221, 1, 'Jan', 0, None, None]","[271, 1, 'Feb', 0, None, None]","[219, 1, 'Dec', 0, None, None]","[374, 1, 'Oct', 0, None, None]","[467, 1, 'Apr', 0, None, None]","[634, 1, 'Sep', 0, None, None]","[486, 1, 'Oct', 0, None, None]","[543, 1, 'Oct', 0, None, None]","[377, 1, 'Feb', 0, None, None]","[380, 1, 'Oct', 0, None, None]","[340, 1, 'Nov', 0, None, None]","[323, 1, 'Nov', 0, None, None]","[207, 1, 'Feb', 0, None, None]","[249, 2, 'Jan', 0, None, None]","[333, 2, 'Mar', 0, None, None]","[428, 2, 'Feb', 0, None, None]","[335, 2, 'Feb', 0, None, None]","[300, 2, 'Jan', 0, None, None]","[233, 1, 'Dec', 0, None, None]","[236, 1, 'Oct', 0, None, None]","[195, 1, 'Nov', 0, None, None]","[205, 1, 'Jan', 0, None, None]","[272, 1, 'Dec', 0, None, None]","[461, 1, 'Feb', 0, None, None]","[274, 1, 'Jan', 0, None, None]","[256, 1, 'Oct', 0, None, None]","[365, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[251, 1, 'Feb', 0, None, None]","[327, 1, 'Oct', 0, None, None]","[490, 1, 'Oct', 0, None, None]","[474, 1, 'Nov', 0, None, None]","[414, 1, 'Nov', 0, None, None]","[614, 2, 'Dec', 0, None, None]","[659, 2, 'Oct', 0, None, None]","[466, 1, 'Oct', 0, None, None]","[283, 2, 'Nov', 0, None, None]",2020-01-19 18:06:38
Outer Ards Shoreline,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1992, 1, 'Apr', 0, None, None]","[1803, 1, 'Dec', 0, None, None]","[1990, 1, 'Mar', 0, None, None]","[1775, 1, 'Nov', 0, None, None]","[2336, 1, 'Nov', 0, None, None]","[1612, 1, 'Jan', 0, None, None]","[1207, 2, 'Nov', 0, None, None]","[1163, 1, 'Jan', 0, None, None]","[1151, 1, 'Jan', 0, None, None]","[1074, 1, 'Nov', 0, None, None]","[750, 2, 'Jan', 0, None, None]","[1040, 1, 'Dec', 0, None, None]","[715, 2, 'Jan', 0, None, None]","[1136, 1, 'Feb', 0, None, None]","[1102, 1, 'Nov', 0, None, None]","[879, 1, 'Nov', 0, None, None]",nan,"[1086, 1, 'Mar', 0, None, None]","[1081, 1, 'Jan', 0, None, None]","[1035, 1, 'Oct', 0, None, None]","[1203, 1, 'Jan', 0, None, None]","[1292, 1, 'Jan', 0, None, None]","[930, 1, 'Mar', 0, None, None]","[937, 1, 'Nov', 0, None, None]","[949, 1, 'Mar', 0, None, None]","[742, 1, 'Mar', 0, None, None]","[587, 1, 'Nov', 0, None, None]","[653, 1, 'Nov', 0, None, None]","[593, 1, 'Nov', 0, None, None]","[524, 1, 'Nov', 0, None, None]","[604, 1, 'Jan', 0, None, None]","[353, 1, 'Jan', 0, None, None]","[302, 1, 'Nov', 0, None, None]",2020-01-19 18:06:38
Severn Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[406, 1, 'Oct', 0, None, None]","[420, 1, 'Oct', 0, None, None]","[441, 1, 'Aug', 0, None, None]","[448, 1, 'Dec', 0, None, None]","[236, 1, 'Sep', 0, None, None]","[267, 1, 'Apr', 0, None, None]","[305, 1, 'Oct', 0, None, None]","[400, 1, 'Apr', 0, None, None]","[466, 1, 'Apr', 0, None, None]","[177, 1, 'Sep', 0, None, None]","[208, 1, 'Sep', 0, None, None]","[247, 1, 'Sep', 0, None, None]","[201, 1, 'Jan', 0, None, None]","[208, 1, 'Feb', 0, None, None]","[163, 1, 'Sep', 0, None, None]","[373, 1, 'Apr', 0, None, None]","[351, 1, 'Apr', 0, None, None]","[524, 1, 'Sep', 0, None, None]","[376, 1, 'Apr', 0, None, None]","[494, 1, 'Oct', 0, None, None]","[274, 1, 'Feb', 0, None, None]","[372, 1, 'Apr', 0, None, None]","[283, 1, 'Nov', 0, None, None]","[256, 1, 'Nov', 0, None, None]","[152, 1, 'Nov', 0, None, None]","[211, 2, 'Jan', 0, None, None]","[226, 2, 'Dec', 0, None, None]","[346, 2, 'Feb', 0, None, None]","[287, 2, 'Feb', 0, None, None]","[300, 2, 'Jan', 0, None, None]","[193, 1, 'Dec', 0, None, None]","[180, 1, 'Oct', 0, None, None]","[176, 1, 'Feb', 0, None, None]","[205, 1, 'Jan', 0, None, None]","[155, 1, 'Mar', 0, None, None]","[234, 1, 'Nov', 0, None, None]","[223, 1, 'Jan', 0, None, None]","[230, 1, 'Oct', 0, None, None]","[306, 1, 'Feb', 0, None, None]","[213, 1, 'Sep', 0, None, None]","[304, 1, 'Oct', 0, None, None]","[469, 1, 'Oct', 0, None, None]","[474, 1, 'Nov', 0, None, None]","[411, 1, 'Nov', 0, None, None]","[577, 2, 'Dec', 0, None, None]","[644, 2, 'Oct', 0, None, None]","[421, 1, 'Oct', 0, None, None]","[255, 1, 'Sep', 0, None, None]",2020-01-19 18:06:38
Stour Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[62, 1, 'Feb', 0, None, None]","[114, 1, 'Nov', 0, None, None]","[250, 1, 'Feb', 0, None, None]","[400, 1, 'Jan', 0, None, None]","[183, 1, 'Dec', 0, None, None]","[156, 1, 'Feb', 0, None, None]","[298, 1, 'Jan', 0, None, None]","[337, 1, 'Mar', 0, None, None]","[332, 1, 'Jan', 0, None, None]","[354, 1, 'Feb', 0, None, None]","[427, 1, 'Jan', 0, None, None]","[497, 1, 'Oct', 0, None, None]","[469, 1, 'Dec', 0, None, None]","[430, 1, 'Dec', 0, None, None]","[408, 1, 'Mar', 0, None, None]","[413, 1, 'Oct', 0, None, None]","[483, 1, 'Feb', 0, None, None]","[571, 1, 'Feb', 0, None, None]","[840, 1, 'Nov', 0, None, None]","[446, 1, 'Aug', 0, None, None]","[478, 1, 'Feb', 0, None, None]","[583, 1, 'Feb', 0, None, None]","[503, 1, 'Mar', 0, None, None]","[809, 1, 'Dec', 0, None, None]","[856, 1, 'Nov', 0, None, None]","[749, 1, 'Sep', 0, None, None]","[531, 1, 'Dec', 0, None, None]","[720, 1, 'Apr', 0, None, None]","[924, 1, 'Oct', 0, None, None]","[838, 1, 'Sep', 0, None, None]","[732, 1, 'Aug', 0, None, None]","[614, 1, 'Nov', 0, None, None]","[640, 2, 'Nov', 0, None, None]","[537, 1, 'Nov', 0, None, None]","[705, 1, 'Feb', 0, None, None]","[655, 1, 'Nov', 0, None, None]","[569, 1, 'Feb', 0, None, None]","[617, 1, 'Nov', 0, None, None]","[525, 1, 'Jan', 0, None, None]","[459, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[710, 1, 'Nov', 0, None, None]","[447, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[542, 1, 'Oct', 0, None, None]","[511, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[440, 1, 'Dec', 0, None, None]","[483, 1, 'Dec', 0, None, None]","[380, 1, 'Mar', 0, None, None]","[472, 1, 'Nov', 0, None, None]",2020-01-19 18:06:38
Swale Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[340, 1, 'Mar', 0, None, None]","[675, 1, 'Feb', 0, None, None]","[293, 1, 'Nov', 0, None, None]","[475, 1, 'Dec', 0, None, None]","[324, 1, 'Mar', 0, None, None]","[220, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,"[246, 1, 'Feb', 0, None, None]","[195, 1, 'Feb', 0, None, None]","[420, 1, 'Jan', 0, None, None]","[448, 1, 'Nov', 0, None, None]","[444, 1, 'Mar', 0, None, None]","[260, 2, 'Dec', 0, None, None]","[203, 2, 'Sep', 0, None, None]","[212, 1, 'Dec', 0, None, None]","[230, 2, 'Oct', 0, None, None]","[156, 2, 'May', 0, None, None]","[157, 2, 'Dec', 0, None, None]","[120, 2, 'Apr', 0, None, None]","[361, 1, 'Dec', 0, None, None]","[489, 1, 'Mar', 0, None, None]","[426, 1, 'Mar', 0, None, None]","[404, 1, 'Nov', 0, None, None]","[376, 1, 'Aug', 0, None, None]","[533, 2, 'Sep', 0, None, None]","[374, 1, 'Mar', 0, None, None]","[346, 1, 'Oct', 0, None, None]","[387, 2, 'Feb', 0, None, None]","[246, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[476, 1, 'Dec', 0, None, None]","[244, 2, 'Mar', 0, None, None]","[515, 2, 'Feb', 0, None, None]","[480, 2, 'Oct', 0, None, None]","[456, 2, 'Sep', 0, None, None]","[432, 1, 'Oct', 0, None, None]","[268, 1, 'Mar', 0, None, None]","[314, 1, 'Oct', 0, None, None]","[426, 2, 'Oct', 0, None, None]","[301, 1, 'Nov', 0, None, None]","[423, 1, 'Mar', 0, None, None]","[360, 1, 'Feb', 0, None, None]","[226, 1, 'Jan', 0, None, None]","[382, 1, 'Dec', 0, None, None]","[418, 1, 'Jan', 0, None, None]","[762, 1, 'Nov', 0, None, None]",2020-01-19 18:06:38
North Norfolk Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[16, 1, 'Feb', 0, None, None]","[170, 1, 'Dec', 0, None, None]","[198, 1, 'Nov', 0, None, None]","[490, 1, 'Nov', 0, None, None]","[400, 1, 'Dec', 0, None, None]","[312, 2, 'Feb', 0, None, None]","[252, 1, 'Dec', 0, None, None]","[344, 2, 'Oct', 0, None, None]","[401, 1, 'Sep', 0, None, None]","[252, 1, 'Sep', 0, None, None]","[210, 1, 'Nov', 0, None, None]","[170, 2, 'Nov', 0, None, None]","[305, 2, 'Nov', 0, None, None]","[228, 2, 'Oct', 0, None, None]","[314, 1, 'Jan', 0, None, None]","[604, 1, 'Mar', 0, None, None]","[606, 1, 'Sep', 0, None, None]","[660, 1, 'Aug', 0, None, None]","[517, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[744, 1, 'Dec', 0, None, None]","[833, 1, 'Feb', 0, None, None]","[727, 1, 'Aug', 0, None, None]","[1028, 1, 'Aug', 0, None, None]","[928, 1, 'Aug', 0, None, None]","[678, 1, 'Aug', 0, None, None]","[913, 1, 'Aug', 0, None, None]","[774, 1, 'Oct', 0, None, None]","[741, 1, 'Jul', 0, None, None]","[746, 1, 'Aug', 0, None, None]","[705, 1, 'Nov', 0, None, None]","[623, 1, 'Sep', 0, None, None]","[640, 1, 'Jul', 0, None, None]","[324, 1, 'Aug', 0, None, None]","[372, 1, 'Aug', 0, None, None]","[423, 1, 'Sep', 0, None, None]","[288, 1, 'Aug', 0, None, None]",2020-01-19 18:06:38
Belfast Lough,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1183, 1, 'Mar', 0, None, None]",nan,"[322, 1, 'Feb', 0, None, None]","[575, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,"[1147, 1, 'Nov', 0, None, None]","[984, 1, 'Feb', 0, None, None]","[702, 2, 'Sep', 0, None, None]","[785, 1, 'Nov', 0, None, None]","[760, 1, 'Oct', 0, None, None]","[708, 1, 'Sep', 0, None, None]","[515, 1, 'Oct', 0, None, None]","[524, 2, 'Dec', 0, None, None]","[432, 1, 'Nov', 0, None, None]","[419, 1, 'Oct', 0, None, None]","[485, 1, 'Jan', 0, None, None]","[508, 1, 'Oct', 0, None, None]","[418, 1, 'Dec', 0, None, None]","[436, 1, 'Jan', 0, None, None]","[419, 1, 'Nov', 0, None, None]","[503, 1, 'Nov', 0, None, None]","[537, 1, 'Dec', 0, None, None]","[612, 1, 'Oct', 0, None, None]","[483, 1, 'Nov', 0, None, None]","[550, 2, 'Nov', 0, None, None]","[469, 1, 'Sep', 0, None, None]","[440, 1, 'Sep', 0, None, None]","[388, 1, 'Jan', 0, None, None]","[398, 1, 'Mar', 0, None, None]","[286, 1, 'Feb', 0, None, None]",2020-01-19 18:06:38
Langstone Harbour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[55, 1, 'Oct', 0, None, None]","[123, 1, 'Nov', 0, None, None]","[82, 1, 'May', 0, None, None]","[134, 1, 'Sep', 0, None, None]","[103, 1, 'Aug', 0, None, None]","[101, 1, 'Nov', 0, None, None]","[156, 1, 'Sep', 0, None, None]","[163, 1, 'Apr', 0, None, None]","[107, 1, 'Dec', 0, None, None]","[182, 1, 'Jan', 0, None, None]","[492, 1, 'Mar', 0, None, None]","[305, 1, 'Nov', 0, None, None]","[261, 1, 'Sep', 0, None, None]","[291, 1, 'Aug', 0, None, None]","[512, 1, 'Sep', 0, None, None]","[320, 1, 'Nov', 0, None, None]","[506, 1, 'Sep', 0, None, None]","[434, 1, 'Aug', 0, None, None]","[418, 1, 'Mar', 0, None, None]","[435, 2, 'Aug', 0, None, None]","[450, 1, 'Sep', 0, None, None]","[405, 1, 'Mar', 0, None, None]","[250, 1, 'Aug', 0, None, None]","[287, 1, 'Apr', 0, None, None]","[408, 1, 'Oct', 0, None, None]","[286, 1, 'May', 0, None, None]","[226, 1, 'Sep', 0, None, None]","[420, 1, 'Oct', 0, None, None]","[256, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[311, 1, 'Aug', 0, None, None]","[494, 1, 'Oct', 0, None, None]","[458, 1, 'Nov', 0, None, None]","[702, 1, 'Oct', 0, None, None]","[342, 1, 'Sep', 0, None, None]","[459, 1, 'Aug', 0, None, None]","[742, 1, 'Oct', 0, None, None]","[450, 1, 'Oct', 0, None, None]","[488, 1, 'Oct', 0, None, None]","[550, 1, 'Sep', 0, None, None]","[299, 1, 'Mar', 0, None, None]","[415, 1, 'Oct', 0, None, None]","[218, 1, 'Mar', 0, None, None]","[267, 1, 'Dec', 0, None, None]","[303, 1, 'Oct', 0, None, None]","[389, 1, 'Mar', 0, None, None]","[486, 1, 'Oct', 0, None, None]","[328, 1, 'Dec', 0, None, None]","[254, 1, 'Aug', 0, None, None]",2020-01-19 18:06:38
