Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Bewl Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[250, 1, 'Oct', 0, None, None]","[600, 1, 'Dec', 0, None, None]","[400, 1, 'Feb', 0, None, None]","[400, 1, 'Jan', 0, None, None]","[500, 1, 'Jan', 0, None, None]","[300, 1, 'Feb', 0, None, None]","[400, 1, 'Feb', 0, None, None]","[800, 1, 'Feb', 0, None, None]","[33000, 1, 'Jan', 1, 'Winter Gull Roost Survey', 'BTO']","[63000, 1, 'Dec', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[31000, 1, 'Dec', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[69000, 1, 'Jan', 1, 'Winter Gull Roost Survey', 'BTO']","[55600, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[67840, 1, 'Dec', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[48400, 1, 'Dec', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[35340, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[36400, 1, 'Dec', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[25350, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[38920, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[50000, 1, 'Nov', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[54830, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[30236, 1, 'Dec', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[33600, 1, 'Feb', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[45000, 1, 'Feb', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[29000, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']",2020-01-19 18:11:28
Lower Derwent Ings,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[32500, 1, 'Mar', 0, None, None]","[17500, 1, 'Mar', 0, None, None]","[19000, 1, 'Jan', 0, None, None]","[1100, 1, 'Dec', 0, None, None]",nan,nan,"[4500, 1, 'Jan', 0, None, None]","[25300, 1, 'Feb', 0, None, None]","[28000, 1, 'Jan', 0, None, None]",nan,"[11000, 1, 'Jan', 0, None, None]","[5321, 1, 'Mar', 0, None, None]","[11600, 1, 'Jan', 0, None, None]","[11200, 1, 'Jan', 0, None, None]","[11000, 1, 'Mar', 0, None, None]","[17000, 1, 'Mar', 0, None, None]","[980, 1, 'Nov', 0, None, None]",nan,"[17500, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[60000, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]",nan,2020-01-19 18:11:28
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8815, 1, 'Feb', 0, None, None]","[12355, 1, 'Aug', 0, None, None]","[12382, 1, 'Sep', 0, None, None]","[13975, 2, 'Oct', 0, None, None]","[5780, 1, 'Nov', 0, None, None]","[8200, 1, 'Aug', 0, None, None]","[31405, 1, 'Dec', 0, None, None]","[9008, 1, 'Nov', 0, None, None]","[16136, 1, 'Sep', 0, None, None]","[15999, 1, 'Oct', 0, None, None]","[17582, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[11093, 1, 'Aug', 0, None, None]","[15595, 1, 'Aug', 0, None, None]","[30097, 1, 'Oct', 0, None, None]","[18679, 1, 'Sep', 0, None, None]","[20878, 1, 'Aug', 0, None, None]","[29615, 1, 'Sep', 0, None, None]","[15142, 1, 'Sep', 0, None, None]","[23780, 1, 'Aug', 0, None, None]","[23643, 1, 'Aug', 0, None, None]","[20988, 2, 'Sep', 0, None, None]","[32564, 1, 'Jul', 0, None, None]","[12988, 1, 'Sep', 0, None, None]","[14039, 1, 'Aug', 0, None, None]","[8621, 1, 'Jul', 0, None, None]",2020-01-19 18:11:28
Eccup Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[9000, 1, 'Nov', 0, None, None]","[11000, 2, 'Jan', 0, None, None]","[10000, 1, 'Jan', 0, None, None]","[8000, 1, 'Dec', 0, None, None]","[10000, 1, 'Dec', 0, None, None]","[10000, 1, 'Jan', 0, None, None]","[8000, 1, 'Dec', 0, None, None]","[14000, 1, 'Jan', 0, None, None]","[15000, 1, 'Dec', 0, None, None]","[1072, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[6000, 1, 'Sep', 0, None, None]",nan,nan,"[20000, 1, 'Dec', 0, None, None]",nan,nan,"[13000, 1, 'Jan', 0, None, None]","[12500, 1, 'Feb', 0, None, None]","[17000, 1, 'Dec', 0, None, None]","[12000, 1, 'Jan', 0, None, None]","[12000, 1, 'Dec', 0, None, None]","[18000, 1, 'Feb', 0, None, None]","[15000, 1, 'Dec', 0, None, None]","[16000, 1, 'Feb', 0, None, None]",2020-01-19 18:11:28
Delph and Belmont Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,"[1300, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,"[1200, 1, 'Mar', 0, None, None]","[2000, 1, 'Mar', 0, None, None]","[5500, 2, 'Mar', 0, None, None]","[4000, 2, 'Mar', 0, None, None]","[6080, 2, 'Mar', 0, None, None]","[3500, 2, 'Mar', 0, None, None]","[6000, 2, 'Mar', 0, None, None]","[1200, 1, 'Oct', 0, None, None]","[7000, 1, 'Mar', 0, None, None]","[20000, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[9300, 1, 'Mar', 0, None, None]","[11000, 1, 'Mar', 0, None, None]","[14150, 1, 'Mar', 0, None, None]","[1400, 1, 'Oct', 0, None, None]",2020-01-19 18:11:28
Severn Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3564, 1, 'Jan', 0, None, None]","[2748, 2, 'Dec', 0, None, None]","[4963, 1, 'Jan', 0, None, None]","[7112, 1, 'Sep', 0, None, None]","[5988, 1, 'Aug', 0, None, None]","[4358, 1, 'Aug', 0, None, None]","[3236, 2, 'Aug', 0, None, None]","[4478, 1, 'Aug', 0, None, None]","[5725, 1, 'Sep', 0, None, None]","[6775, 1, 'Nov', 0, None, None]","[13139, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[9656, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[8278, 1, 'Feb', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[3589, 1, 'Oct', 0, None, None]","[4851, 1, 'Aug', 0, None, None]","[10893, 2, 'Sep', 0, None, None]","[9858, 1, 'Aug', 0, None, None]","[8359, 1, 'Aug', 0, None, None]","[7484, 1, 'Aug', 0, None, None]","[8175, 1, 'Aug', 0, None, None]","[9465, 1, 'Sep', 0, None, None]","[9729, 2, 'Aug', 0, None, None]","[12372, 1, 'Sep', 0, None, None]","[13510, 1, 'Aug', 0, None, None]","[7954, 1, 'Jul', 0, None, None]",2020-01-19 18:11:28
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[12395, 1, 'Oct', 0, None, None]","[16025, 1, 'Aug', 0, None, None]","[19049, 1, 'Aug', 0, None, None]","[18653, 1, 'Sep', 0, None, None]","[25294, 1, 'Aug', 0, None, None]","[26624, 1, 'Sep', 0, None, None]","[17670, 1, 'Aug', 0, None, None]","[17610, 1, 'Sep', 0, None, None]","[7795, 1, 'Feb', 0, None, None]","[17772, 1, 'Aug', 0, None, None]","[12574, 1, 'Aug', 0, None, None]","[16757, 1, 'Aug', 0, None, None]","[16695, 1, 'Jul', 0, None, None]","[15232, 1, 'Aug', 0, None, None]","[12153, 1, 'Aug', 0, None, None]","[13758, 1, 'Aug', 0, None, None]","[13034, 1, 'Aug', 0, None, None]","[13403, 1, 'Sep', 0, None, None]","[18580, 1, 'Jul', 0, None, None]","[20505, 1, 'Aug', 0, None, None]","[12897, 1, 'Jul', 0, None, None]","[13388, 1, 'Aug', 0, None, None]","[10566, 1, 'Jan', 0, None, None]","[8978, 1, 'Jul', 0, None, None]","[5789, 1, 'Aug', 0, None, None]",2020-01-19 18:11:28
Dee Estuary (England and Wales),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1037, 1, 'Nov', 0, None, None]","[1023, 1, 'Dec', 0, None, None]","[3894, 1, 'Sep', 0, None, None]","[2600, 1, 'Jul', 0, None, None]","[4480, 1, 'Aug', 0, None, None]","[1800, 1, 'Aug', 0, None, None]","[4566, 1, 'Sep', 0, None, None]","[3728, 1, 'Nov', 0, None, None]","[3559, 1, 'Sep', 0, None, None]","[9144, 1, 'Aug', 0, None, None]","[9177, 1, 'Aug', 0, None, None]","[3716, 1, 'Oct', 0, None, None]","[5067, 1, 'Jul', 0, None, None]","[7515, 1, 'Oct', 0, None, None]","[4705, 1, 'Sep', 0, None, None]","[6639, 1, 'Aug', 0, None, None]","[8351, 1, 'Aug', 0, None, None]","[10372, 1, 'Oct', 0, None, None]","[4372, 1, 'Aug', 0, None, None]","[18305, 1, 'Aug', 0, None, None]","[9669, 1, 'Jul', 0, None, None]","[10418, 1, 'Aug', 0, None, None]","[5930, 1, 'Aug', 0, None, None]","[11564, 1, 'Aug', 0, None, None]","[5921, 1, 'Aug', 0, None, None]",2020-01-19 18:11:28
Humber Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[378, 1, 'Oct', 0, None, None]","[1403, 1, 'Aug', 0, None, None]","[616, 1, 'Aug', 0, None, None]","[53, 1, 'Aug', 0, None, None]","[1253, 2, 'Aug', 0, None, None]","[152, 2, 'Sep', 0, None, None]","[6960, 1, 'Sep', 0, None, None]","[3264, 2, 'Oct', 0, None, None]","[2217, 1, 'Nov', 0, None, None]","[363, 1, 'Sep', 0, None, None]","[21450, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[1028, 2, 'Sep', 0, None, None]","[2298, 1, 'Jul', 0, None, None]","[819, 1, 'Oct', 0, None, None]","[6689, 2, 'Aug', 0, None, None]","[7865, 1, 'Sep', 0, None, None]","[8741, 2, 'Aug', 0, None, None]","[5039, 2, 'Aug', 0, None, None]","[11604, 2, 'Aug', 0, None, None]","[9401, 1, 'Aug', 0, None, None]","[9389, 1, 'Sep', 0, None, None]","[4990, 1, 'Sep', 0, None, None]","[8985, 1, 'Sep', 0, None, None]","[8047, 1, 'Aug', 0, None, None]","[9956, 1, 'Aug', 0, None, None]",2020-01-19 18:11:28
Wintersett and Cold Hiendley Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,"[5000, 1, 'Dec', 0, None, None]",nan,"[6000, 1, 'Jan', 0, None, None]",nan,"[0, 1, '', 0, None, None]",nan,"[5000, 1, 'Oct', 0, None, None]","[20000, 1, 'Jan', 0, None, None]","[6000, 1, 'Jan', 0, None, None]",nan,nan,"[7000, 1, 'Jan', 0, None, None]","[9000, 1, 'Nov', 0, None, None]","[8700, 1, 'Jan', 0, None, None]","[10000, 1, 'Dec', 0, None, None]","[9500, 1, 'Dec', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[10000, 1, 'Dec', 0, None, None]","[3000, 1, 'Nov', 0, None, None]",2020-01-19 18:11:28
Severn Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3278, 1, 'Jan', 0, None, None]","[2448, 2, 'Dec', 0, None, None]","[3894, 1, 'Jan', 0, None, None]","[6446, 1, 'Sep', 0, None, None]","[4995, 1, 'Aug', 0, None, None]","[4120, 1, 'Aug', 0, None, None]","[3236, 2, 'Aug', 0, None, None]","[4478, 1, 'Aug', 0, None, None]","[5285, 1, 'Sep', 0, None, None]","[5555, 1, 'Sep', 0, None, None]","[4394, 1, 'Aug', 0, None, None]","[1897, 1, 'Jul', 0, None, None]","[4887, 1, 'Aug', 0, None, None]","[3495, 1, 'Oct', 0, None, None]","[4585, 1, 'Aug', 0, None, None]","[8499, 1, 'Oct', 0, None, None]","[7209, 1, 'Sep', 0, None, None]","[4374, 1, 'Aug', 0, None, None]","[4150, 1, 'Aug', 0, None, None]","[5877, 1, 'Sep', 0, None, None]","[7438, 1, 'Sep', 0, None, None]","[6503, 1, 'Sep', 0, None, None]","[9983, 1, 'Sep', 0, None, None]","[10222, 1, 'Sep', 0, None, None]","[4832, 1, 'Oct', 0, None, None]",2020-01-19 18:11:28
North Hykeham Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5000, 2, 'Dec', 0, None, None]","[300, 1, 'Jan', 0, None, None]","[500, 1, 'Jan', 0, None, None]",nan,"[2000, 1, 'Nov', 0, None, None]","[3000, 1, 'Jan', 0, None, None]","[4500, 1, 'Jan', 0, None, None]","[8250, 1, 'Feb', 0, None, None]",nan,"[7000, 2, 'Nov', 0, None, None]","[5500, 2, 'Dec', 0, None, None]","[3500, 2, 'Nov', 0, None, None]","[4500, 1, 'Jan', 0, None, None]","[12000, 1, 'Nov', 0, None, None]","[7000, 2, 'Nov', 0, None, None]","[9000, 1, 'Dec', 0, None, None]","[6000, 1, 'Dec', 0, None, None]","[8000, 1, 'Jan', 0, None, None]","[7700, 1, 'Dec', 0, None, None]",nan,2020-01-19 18:11:28
Whisby and North Hykeham Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[273, 1, 'Apr', 0, None, None]","[248, 1, 'Feb', 0, None, None]","[870, 1, 'Mar', 0, None, None]","[420, 1, 'Jan', 0, None, None]","[149, 1, 'Nov', 0, None, None]","[5426, 2, 'Dec', 0, None, None]","[800, 1, 'Jan', 0, None, None]","[687, 1, 'Oct', 0, None, None]","[314, 1, 'Dec', 0, None, None]","[2000, 1, 'Nov', 0, None, None]","[3000, 1, 'Jan', 0, None, None]","[6000, 1, 'Jan', 0, None, None]","[8250, 1, 'Feb', 0, None, None]",nan,"[7000, 2, 'Nov', 0, None, None]","[5500, 2, 'Dec', 0, None, None]","[3500, 2, 'Nov', 0, None, None]","[4500, 1, 'Jan', 0, None, None]","[12000, 1, 'Nov', 0, None, None]","[7000, 2, 'Nov', 0, None, None]","[9000, 1, 'Dec', 0, None, None]","[6000, 1, 'Dec', 0, None, None]","[8000, 1, 'Jan', 0, None, None]","[7700, 1, 'Dec', 0, None, None]","[7500, 1, 'Nov', 0, None, None]",2020-01-19 18:11:28
Thames Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[13595, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[3358, 2, 'Sep', 0, None, None]","[3590, 1, 'Oct', 0, None, None]","[7197, 1, 'Feb', 0, None, None]","[6308, 1, 'Mar', 0, None, None]","[11337, 2, 'Jan', 0, None, None]","[18250, 1, 'Jan', 0, None, None]","[35410, 2, 'Jan', 0, None, None]","[22911, 1, 'Mar', 0, None, None]","[30275, 1, 'Jan', 0, None, None]","[43601, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[40048, 1, 'Feb', 0, None, None]","[13848, 1, 'Sep', 0, None, None]","[10712, 1, 'Feb', 0, None, None]","[12901, 1, 'Dec', 0, None, None]","[14532, 1, 'Aug', 0, None, None]","[7601, 1, 'Aug', 0, None, None]","[10978, 1, 'Aug', 0, None, None]","[8249, 1, 'Aug', 0, None, None]","[11005, 1, 'Dec', 0, None, None]","[10569, 1, 'Sep', 0, None, None]","[5432, 1, 'Sep', 0, None, None]","[5464, 1, 'Aug', 0, None, None]","[9412, 2, 'Sep', 0, None, None]","[5336, 1, 'Sep', 0, None, None]",2020-01-19 18:11:28
Pitsford Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[12000, 1, 'Mar', 0, None, None]","[10000, 1, 'Sep', 0, None, None]","[5000, 1, 'Jan', 0, None, None]","[8000, 1, 'Oct', 0, None, None]","[8000, 1, 'Nov', 0, None, None]","[15000, 2, 'Sep', 0, None, None]","[10000, 1, 'Feb', 0, None, None]","[10000, 1, 'Oct', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[10000, 1, 'Nov', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[12000, 1, 'Oct', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[10000, 1, 'Sep', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[10000, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[10000, 1, 'Oct', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[8000, 1, 'Oct', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[8000, 1, 'Feb', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[7000, 1, 'Nov', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[6000, 1, 'Oct', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[8000, 1, 'Nov', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[12000, 1, 'Dec', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[8000, 1, 'Dec', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[8000, 1, 'Feb', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[6000, 1, 'Nov', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[7000, 1, 'Oct', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[6000, 1, 'Nov', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[6000, 1, 'Nov', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']",2020-01-19 18:11:28
North Norfolk Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1527, 1, 'Nov', 0, None, None]","[678, 1, 'Aug', 0, None, None]","[1020, 1, 'Mar', 0, None, None]","[1107, 1, 'Aug', 0, None, None]","[2537, 1, 'Apr', 0, None, None]","[5395, 1, 'Feb', 0, None, None]","[8764, 1, 'Apr', 0, None, None]","[3726, 1, 'May', 0, None, None]","[4786, 1, 'Mar', 0, None, None]","[5882, 1, 'Jun', 0, None, None]","[8400, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[5976, 1, 'Jul', 0, None, None]","[5108, 1, 'May', 0, None, None]","[6485, 1, 'Apr', 0, None, None]","[6876, 1, 'May', 0, None, None]","[4155, 1, 'May', 0, None, None]","[6426, 1, 'Dec', 0, None, None]","[4468, 1, 'Apr', 0, None, None]","[6212, 1, 'Aug', 0, None, None]","[7440, 1, 'Sep', 0, None, None]","[5719, 1, 'Jul', 0, None, None]","[6472, 1, 'May', 0, None, None]","[6442, 1, 'Sep', 0, None, None]","[6772, 1, 'Apr', 0, None, None]","[7163, 1, 'Aug', 0, None, None]",2020-01-19 18:11:28
Dee Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1037, 1, 'Nov', 0, None, None]","[1023, 1, 'Dec', 0, None, None]","[3894, 1, 'Sep', 0, None, None]","[2600, 1, 'Jul', 0, None, None]","[4480, 1, 'Aug', 0, None, None]","[1800, 1, 'Aug', 0, None, None]","[4566, 1, 'Sep', 0, None, None]","[3725, 1, 'Nov', 0, None, None]","[3522, 1, 'Sep', 0, None, None]","[6080, 1, 'Aug', 0, None, None]","[7250, 1, 'Aug', 0, None, None]","[3716, 1, 'Oct', 0, None, None]","[5067, 1, 'Jul', 0, None, None]","[7515, 1, 'Oct', 0, None, None]","[4705, 1, 'Sep', 0, None, None]","[6639, 1, 'Aug', 0, None, None]","[8288, 1, 'Aug', 0, None, None]","[10136, 1, 'Oct', 0, None, None]","[3953, 1, 'Aug', 0, None, None]","[17450, 1, 'Aug', 0, None, None]","[7719, 1, 'Jul', 0, None, None]","[9150, 1, 'Aug', 0, None, None]","[4195, 1, 'Aug', 0, None, None]","[7400, 1, 'Aug', 0, None, None]","[3585, 1, 'Sep', 0, None, None]",2020-01-19 18:11:28
Abberton Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[237, 1, 'Mar', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,"[857, 1, 'Jun', 0, None, None]","[776, 1, 'Apr', 0, None, None]","[1327, 1, 'Apr', 0, None, None]","[1796, 1, 'Aug', 0, None, None]","[1620, 1, 'Apr', 0, None, None]","[5107, 1, 'Apr', 0, None, None]","[18855, 1, 'Apr', 0, None, None]","[5647, 1, 'Apr', 0, None, None]","[681, 1, 'Oct', 0, None, None]",2020-01-19 18:11:28
